payment_id,order_id,amount,currency,status,method,error_code,error_description,created_at,customer_email,customer_contact,notes
pay_RZP_5770422,order_ORD_592198,188517,INR,failed,card,GATEWAY_TIMEOUT,"Bank network unresponsive during 3DS verification",2026-08-25 03:15:30,neha.agarwal53@outlook.com,+917220661337,"{""customer"": ""Neha Agarwal"", ""campaign"": ""FestiveSale""}"
pay_RZP_7722755,order_ORD_615633,310147,INR,captured,upi,,,2026-08-18 05:44:05,rohan.verma29@outlook.com,+919417377633,"{""product"": ""Ecommerce Order #7818""}"
pay_RZP_4786401,order_ORD_913373,378125,INR,failed,card,CARD_EXPIRED,"Card validity expired or month/year invalid",2026-08-19 02:52:17,arjun.bose67@corporate.in,+918277121963,"{""customer"": ""Arjun Bose"", ""campaign"": ""FestiveSale""}"
pay_RZP_2010496,order_ORD_739244,232156,INR,captured,netbanking,,,2026-08-21 02:19:46,priya.reddy90@outlook.com,+918136646449,"{""product"": ""Ecommerce Order #2229""}"
pay_RZP_3626181,order_ORD_102805,791196,INR,captured,card,,,2026-08-24 18:02:38,kavita.agarwal98@fintech.org,+919018258729,"{""product"": ""Ecommerce Order #8438""}"
pay_RZP_2194198,order_ORD_820775,170251,INR,captured,netbanking,,,2026-08-19 16:14:21,ananya.deshmukh90@fintech.org,+919839759520,"{""product"": ""Ecommerce Order #4683""}"
pay_RZP_3499627,order_ORD_378535,310242,INR,failed,card,CARD_EXPIRED,"Card validity expired or month/year invalid",2026-08-21 17:51:53,vikram.patel17@outlook.com,+918321182659,"{""customer"": ""Vikram Patel"", ""campaign"": ""FestiveSale""}"
pay_RZP_3086308,order_ORD_591465,91697,INR,captured,card,,,2026-08-22 17:55:17,pooja.bose44@fintech.org,+919319203166,"{""product"": ""Ecommerce Order #6280""}"
pay_RZP_5200476,order_ORD_127121,382119,INR,failed,card,CARD_EXPIRED,"Card validity expired or month/year invalid",2026-08-18 05:20:25,rohan.gupta96@fintech.org,+919521673791,"{""customer"": ""Rohan Gupta"", ""campaign"": ""FestiveSale""}"
pay_RZP_1674975,order_ORD_900177,663662,INR,captured,card,,,2026-08-18 13:35:17,sneha.rao76@enterprise.co,+918899360801,"{""product"": ""Ecommerce Order #9056""}"
pay_RZP_2530793,order_ORD_592841,481541,INR,captured,netbanking,,,2026-08-26 14:23:39,deepika.kulkarni52@yahoo.in,+919878201524,"{""product"": ""Ecommerce Order #9117""}"
pay_RZP_5835492,order_ORD_794769,473708,INR,captured,netbanking,,,2026-08-25 03:16:38,suresh.verma68@gmail.com,+918350840898,"{""product"": ""Ecommerce Order #1018""}"
pay_RZP_8750676,order_ORD_533321,156723,INR,failed,upi,NETWORK_ERROR,"Gateway connection timed out while contacting acquiring bank",2026-08-20 03:30:58,aditi.reddy76@yahoo.in,+919674192109,"{""customer"": ""Aditi Reddy"", ""campaign"": ""FestiveSale""}"
pay_RZP_5480460,order_ORD_675898,1038141,INR,failed,netbanking,BANK_UNAVAILABLE,"Netbanking portal undergoing maintenance window",2026-08-26 10:23:46,vikram.singhania66@enterprise.co,+919081821325,"{""customer"": ""Vikram Singhania"", ""campaign"": ""FestiveSale""}"
pay_RZP_5014745,order_ORD_844261,168872,INR,captured,card,,,2026-08-23 14:18:31,sneha.singhania80@gmail.com,+919371901750,"{""product"": ""Ecommerce Order #2924""}"
pay_RZP_3583206,order_ORD_622584,149934,INR,failed,upi,UPI_COLLECT_DECLINED,"Customer declined UPI collect request on VPA",2026-08-25 05:20:12,pooja.deshmukh63@corporate.in,+919028168523,"{""customer"": ""Pooja Deshmukh"", ""campaign"": ""FestiveSale""}"
pay_RZP_9526867,order_ORD_882544,198289,INR,failed,upi,NETWORK_ERROR,"Gateway connection timed out while contacting acquiring bank",2026-08-18 09:16:11,vikram.patel45@corporate.in,+918459753033,"{""customer"": ""Vikram Patel"", ""campaign"": ""FestiveSale""}"
pay_RZP_6008935,order_ORD_978157,515533,INR,failed,card,3DS_TIMEOUT,"Customer failed to complete 3DS challenge within 180s",2026-08-22 20:10:03,siddharth.rao29@corporate.in,+919313185971,"{""customer"": ""Siddharth Rao"", ""campaign"": ""FestiveSale""}"
pay_RZP_8639414,order_ORD_437408,485439,INR,failed,card,AUTHENTICATION_FAILED,"Incorrect OTP entered by customer",2026-08-19 03:51:30,karan.gupta83@corporate.in,+918003143045,"{""customer"": ""Karan Gupta"", ""campaign"": ""FestiveSale""}"
pay_RZP_8935224,order_ORD_839485,576590,INR,captured,netbanking,,,2026-08-22 17:33:25,suresh.bose94@enterprise.co,+917653287375,"{""product"": ""Ecommerce Order #6439""}"
pay_RZP_2683838,order_ORD_986088,64231,INR,failed,upi,ISSUER_BUSY,"Issuer switch overloaded during peak UPI traffic",2026-08-20 11:35:40,manish.mehta77@corporate.in,+917065917432,"{""customer"": ""Manish Mehta"", ""campaign"": ""FestiveSale""}"
pay_RZP_8876745,order_ORD_919488,518468,INR,failed,card,3DS_TIMEOUT,"Customer failed to complete 3DS challenge within 180s",2026-08-21 04:50:45,rahul.chopra89@enterprise.co,+918707177877,"{""customer"": ""Rahul Chopra"", ""campaign"": ""FestiveSale""}"
pay_RZP_6312692,order_ORD_757246,244769,INR,failed,upi,INSUFFICIENT_FUNDS,"Account balance insufficient to complete debit",2026-08-21 09:17:00,neha.verma89@gmail.com,+918008330525,"{""customer"": ""Neha Verma"", ""campaign"": ""FestiveSale""}"
pay_RZP_8280833,order_ORD_203225,108745,INR,captured,card,,,2026-08-18 16:35:37,priya.agarwal31@enterprise.co,+918286196999,"{""product"": ""Ecommerce Order #6873""}"
pay_RZP_7288789,order_ORD_551607,233473,INR,captured,upi,,,2026-08-20 21:15:05,vikram.gupta77@corporate.in,+919430642523,"{""product"": ""Ecommerce Order #7267""}"
pay_RZP_5040453,order_ORD_621841,59753,INR,captured,card,,,2026-08-25 02:54:07,siddharth.iyer39@corporate.in,+919739779525,"{""product"": ""Ecommerce Order #5712""}"
pay_RZP_3650391,order_ORD_177449,883595,INR,failed,card,FRAUD_SUSPECTED,"High-velocity risk rule triggered by risk engine",2026-08-18 02:40:08,manish.joshi85@yahoo.in,+919744220825,"{""customer"": ""Manish Joshi"", ""campaign"": ""FestiveSale""}"
pay_RZP_4342306,order_ORD_503380,783147,INR,captured,card,,,2026-08-24 01:57:30,neha.mehta40@corporate.in,+919456389272,"{""product"": ""Ecommerce Order #1359""}"
pay_RZP_7640518,order_ORD_387813,786553,INR,failed,upi,INSUFFICIENT_FUNDS,"Account balance insufficient to complete debit",2026-08-19 09:21:52,aarav.verma87@enterprise.co,+919133427445,"{""customer"": ""Aarav Verma"", ""campaign"": ""FestiveSale""}"
pay_RZP_6910964,order_ORD_329642,151783,INR,captured,netbanking,,,2026-08-20 21:28:33,karan.deshmukh96@enterprise.co,+919831163141,"{""product"": ""Ecommerce Order #1645""}"
pay_RZP_6183033,order_ORD_926918,833690,INR,captured,card,,,2026-08-26 17:49:53,manish.verma84@yahoo.in,+917564409423,"{""product"": ""Ecommerce Order #3877""}"
pay_RZP_4368777,order_ORD_238579,555154,INR,captured,card,,,2026-08-19 09:55:36,divya.joshi77@fintech.org,+918170496062,"{""product"": ""Ecommerce Order #6549""}"
pay_RZP_2932227,order_ORD_591081,503542,INR,failed,card,3DS_TIMEOUT,"Customer failed to complete 3DS challenge within 180s",2026-08-17 22:24:46,rohan.iyer38@enterprise.co,+919896552701,"{""customer"": ""Rohan Iyer"", ""campaign"": ""FestiveSale""}"
pay_RZP_2515030,order_ORD_929090,386477,INR,failed,card,CARD_EXPIRED,"Card validity expired or month/year invalid",2026-08-23 03:11:24,suresh.sharma43@fintech.org,+917530809576,"{""customer"": ""Suresh Sharma"", ""campaign"": ""FestiveSale""}"
pay_RZP_7392547,order_ORD_962367,463939,INR,failed,card,3DS_TIMEOUT,"Customer failed to complete 3DS challenge within 180s",2026-08-27 09:18:04,deepika.mehta96@outlook.com,+919024977737,"{""customer"": ""Deepika Mehta"", ""campaign"": ""FestiveSale""}"
pay_RZP_4713925,order_ORD_779112,88919,INR,captured,card,,,2026-08-23 14:14:09,rohan.agarwal99@yahoo.in,+919788462200,"{""product"": ""Ecommerce Order #9071""}"
pay_RZP_2948178,order_ORD_201913,559486,INR,failed,card,3DS_TIMEOUT,"Customer failed to complete 3DS challenge within 180s",2026-08-20 23:56:22,ananya.iyer59@corporate.in,+918593482331,"{""customer"": ""Ananya Iyer"", ""campaign"": ""FestiveSale""}"
pay_RZP_3592464,order_ORD_535037,1182594,INR,failed,card,FRAUD_SUSPECTED,"High-velocity risk rule triggered by risk engine",2026-08-27 07:28:25,priya.rao88@corporate.in,+918201474778,"{""customer"": ""Priya Rao"", ""campaign"": ""FestiveSale""}"
pay_RZP_4961312,order_ORD_997004,258739,INR,failed,upi,NETWORK_ERROR,"Gateway connection timed out while contacting acquiring bank",2026-08-18 17:00:15,deepika.mehta97@yahoo.in,+919338463041,"{""customer"": ""Deepika Mehta"", ""campaign"": ""FestiveSale""}"
pay_RZP_5628522,order_ORD_299028,76517,INR,failed,upi,NETWORK_ERROR,"Gateway connection timed out while contacting acquiring bank",2026-08-21 06:46:41,priya.agarwal21@enterprise.co,+917910987546,"{""customer"": ""Priya Agarwal"", ""campaign"": ""FestiveSale""}"
pay_RZP_6595355,order_ORD_355400,494519,INR,failed,upi,INSUFFICIENT_FUNDS,"Account balance insufficient to complete debit",2026-08-21 19:55:21,vikram.reddy18@fintech.org,+917889734128,"{""customer"": ""Vikram Reddy"", ""campaign"": ""FestiveSale""}"
pay_RZP_3475548,order_ORD_926952,813169,INR,failed,card,GATEWAY_TIMEOUT,"Bank network unresponsive during 3DS verification",2026-08-22 06:53:31,meera.sharma45@outlook.com,+917558311957,"{""customer"": ""Meera Sharma"", ""campaign"": ""FestiveSale""}"
pay_RZP_1432519,order_ORD_238205,182815,INR,captured,netbanking,,,2026-08-27 11:29:51,aarav.joshi40@fintech.org,+918390587865,"{""product"": ""Ecommerce Order #7897""}"
pay_RZP_9826250,order_ORD_219169,794986,INR,failed,upi,INSUFFICIENT_FUNDS,"Account balance insufficient to complete debit",2026-08-21 18:11:31,rohan.rao67@yahoo.in,+919204340231,"{""customer"": ""Rohan Rao"", ""campaign"": ""FestiveSale""}"
pay_RZP_1727544,order_ORD_862569,273490,INR,failed,upi,UPI_COLLECT_DECLINED,"Customer declined UPI collect request on VPA",2026-08-27 00:47:42,arjun.singhania68@enterprise.co,+917133790981,"{""customer"": ""Arjun Singhania"", ""campaign"": ""FestiveSale""}"
pay_RZP_2811298,order_ORD_614084,704544,INR,captured,netbanking,,,2026-08-26 04:00:11,manish.patel20@yahoo.in,+919612617557,"{""product"": ""Ecommerce Order #9984""}"
