transaction_id,amount_inr,currency,payment_method,status,failure_code,failure_category,retry_count,timestamp,customer_reference,subscription_reference
txn_GEN_72734149,1988.13,INR,upi,failed,OTP_EXPIRED,biometric_failure,1,2026-08-23 08:04:04,+917282385977,
txn_GEN_64953237,2214.19,INR,upi,failed,UPI_COLLECT_DECLINED,payment_method_related,1,2026-08-26 14:30:20,+919758823240,
txn_GEN_27318510,12215.85,INR,card,success,,,0,2026-08-23 09:47:28,+917657196424,sub_pro_454
txn_GEN_79645282,8499.27,INR,netbanking,success,,,0,2026-08-14 08:12:29,+919727549434,sub_pro_646
txn_GEN_22539748,31880.98,INR,card,failed,FRAUD_SUSPECTED,risk_related,0,2026-08-25 06:08:04,+917662259333,sub_saas_1464
txn_GEN_20901547,5444.98,INR,card,failed,INVALID_CARD_DETAILS,payment_method_related,2,2026-08-21 20:16:25,+919457310580,sub_saas_5949
txn_GEN_74819756,5986.46,INR,upi,success,,,0,2026-08-18 01:31:32,+917313416738,sub_pro_308
txn_GEN_55659873,4568.19,INR,card,failed,CARD_EXPIRED,payment_method_related,2,2026-08-17 10:19:05,+918371453454,sub_saas_9437
txn_GEN_85383550,2160.74,INR,upi,success,,,0,2026-08-23 22:01:07,+917526227599,sub_pro_493
txn_GEN_92594562,2911.11,INR,netbanking,success,,,0,2026-08-17 14:40:43,+919481146933,sub_pro_578
txn_GEN_76942394,9583.47,INR,upi,failed,INSUFFICIENT_FUNDS,customer_related,0,2026-08-20 14:37:51,+918688962331,
txn_GEN_16783418,2394.43,INR,upi,failed,NETWORK_ERROR,transient,2,2026-08-21 02:15:33,+919888454001,
txn_GEN_59093843,7637.68,INR,card,success,,,0,2026-08-19 17:00:04,+917219720597,sub_pro_495
txn_GEN_77680031,7477.38,INR,card,failed,CARD_EXPIRED,payment_method_related,2,2026-08-25 23:36:42,+919624410325,sub_saas_6990
txn_GEN_29363237,9843.03,INR,card,failed,3DS_TIMEOUT,three_ds_authentication,0,2026-08-27 02:15:55,+917194576436,sub_saas_3440
txn_GEN_91370909,3043.55,INR,upi,failed,OTP_EXPIRED,biometric_failure,2,2026-08-25 09:02:11,+918368076065,
txn_GEN_78090664,31576.28,INR,card,failed,RISK_BLOCKED,risk_related,0,2026-08-16 07:06:48,+919039648170,sub_saas_6040
txn_GEN_94457912,39022.44,INR,card,failed,FRAUD_SUSPECTED,risk_related,0,2026-08-19 14:32:54,+919484528348,sub_saas_3421
txn_GEN_42507072,9285.0,INR,upi,success,,,0,2026-08-23 06:35:57,+918894246230,sub_pro_613
txn_GEN_92071195,3627.39,INR,card,failed,INVALID_CARD_DETAILS,payment_method_related,2,2026-08-19 20:08:07,+917890525840,sub_saas_3837
txn_GEN_71694994,73219.15,INR,card,failed,RISK_BLOCKED,risk_related,2,2026-08-16 21:42:41,+919902833426,sub_saas_8932
txn_GEN_35805259,6979.56,INR,card,failed,3DS_TIMEOUT,three_ds_authentication,1,2026-08-14 13:10:03,+917965796553,sub_saas_9011
txn_GEN_52552488,2363.7,INR,upi,failed,UPI_COLLECT_DECLINED,payment_method_related,0,2026-08-23 15:14:26,+918174491176,
txn_GEN_56323191,6655.57,INR,card,failed,AUTHENTICATION_FAILED,customer_related,1,2026-08-22 19:42:01,+917339428835,sub_saas_4310
txn_GEN_82286705,1608.19,INR,netbanking,success,,,0,2026-08-17 08:05:09,+919644312718,sub_pro_331
txn_GEN_95623471,10248.19,INR,card,success,,,0,2026-08-17 15:56:11,+918418600299,sub_pro_663
txn_GEN_31198492,5915.05,INR,card,failed,AUTHENTICATION_FAILED,customer_related,0,2026-08-17 03:04:31,+917856656865,sub_saas_4804
txn_GEN_81826922,1931.56,INR,card,failed,INVALID_CARD_DETAILS,payment_method_related,2,2026-08-13 18:35:26,+917156078445,sub_saas_1613
txn_GEN_11243818,5446.3,INR,card,failed,INVALID_CARD_DETAILS,payment_method_related,1,2026-08-13 21:17:01,+918951414407,sub_saas_9261
txn_GEN_72816684,1139.98,INR,upi,failed,OTP_EXPIRED,biometric_failure,2,2026-08-17 11:20:44,+917697907532,
txn_GEN_49597485,2143.69,INR,upi,failed,UPI_COLLECT_DECLINED,payment_method_related,0,2026-08-15 03:59:37,+919743306394,
txn_GEN_99826000,5601.89,INR,upi,success,,,0,2026-08-14 15:03:21,+918389858576,sub_pro_871
txn_GEN_45835371,1285.28,INR,upi,failed,OTP_EXPIRED,biometric_failure,0,2026-08-27 11:25:56,+919460489491,
txn_GEN_72464258,7320.16,INR,card,failed,3DS_TIMEOUT,three_ds_authentication,0,2026-08-14 19:17:56,+919158308965,sub_saas_5833
txn_GEN_59330907,33681.24,INR,card,failed,FRAUD_SUSPECTED,risk_related,0,2026-08-25 12:08:40,+919053775623,sub_saas_9806
txn_GEN_99133246,4718.26,INR,netbanking,failed,CUSTOMER_ABORTED,customer_related,0,2026-08-20 07:56:17,+917351630288,
txn_GEN_18289024,1581.2,INR,card,failed,INVALID_CARD_DETAILS,payment_method_related,1,2026-08-25 08:21:27,+917643611097,sub_saas_9008
txn_GEN_22205980,5970.38,INR,card,failed,GATEWAY_TIMEOUT,transient,2,2026-08-20 12:01:39,+917566696611,sub_saas_1356
txn_GEN_63143336,2802.3,INR,upi,failed,NETWORK_ERROR,transient,0,2026-08-27 00:08:18,+917313659437,
txn_GEN_19263592,2473.05,INR,upi,failed,OTP_EXPIRED,biometric_failure,1,2026-08-16 22:43:05,+917773013901,
txn_GEN_60259293,1315.21,INR,upi,failed,UPI_COLLECT_DECLINED,payment_method_related,2,2026-08-18 03:29:18,+917344671094,
txn_GEN_25922674,4579.93,INR,card,failed,AUTHENTICATION_FAILED,customer_related,1,2026-08-16 00:45:02,+917956447193,sub_saas_9715
txn_GEN_60905625,2819.92,INR,upi,failed,OTP_EXPIRED,biometric_failure,0,2026-08-23 19:17:25,+917666241244,
txn_GEN_98610233,8172.42,INR,netbanking,success,,,0,2026-08-26 05:35:17,+917289012242,sub_pro_993
txn_GEN_16533225,3374.88,INR,card,failed,3DS_TIMEOUT,three_ds_authentication,2,2026-08-20 03:11:00,+918006479526,sub_saas_4836
txn_GEN_87324220,6605.01,INR,card,failed,CARD_EXPIRED,payment_method_related,0,2026-08-13 22:25:09,+917615298850,sub_saas_3869
txn_GEN_94019376,18318.78,INR,netbanking,failed,CUSTOMER_ABORTED,customer_related,0,2026-08-18 07:17:14,+919763021449,
txn_GEN_30027648,11289.49,INR,card,success,,,0,2026-08-24 06:51:36,+919033747850,sub_pro_925
txn_GEN_72146184,3439.04,INR,netbanking,success,,,0,2026-08-25 18:30:49,+919276297510,sub_pro_180
txn_GEN_70369365,45146.1,INR,card,failed,FRAUD_SUSPECTED,risk_related,0,2026-08-26 22:03:16,+917818112342,sub_saas_4082
txn_GEN_88864147,14183.08,INR,upi,failed,INSUFFICIENT_FUNDS,customer_related,0,2026-08-23 10:06:13,+918430070821,
txn_GEN_74279671,3668.25,INR,card,failed,INVALID_CARD_DETAILS,payment_method_related,2,2026-08-23 03:57:23,+919371162526,sub_saas_6053
txn_GEN_45106207,6819.16,INR,upi,failed,INSUFFICIENT_FUNDS,customer_related,2,2026-08-17 01:10:04,+919016446001,
txn_GEN_16135823,1810.98,INR,upi,failed,OTP_EXPIRED,biometric_failure,1,2026-08-19 22:39:44,+918120016279,
txn_GEN_36332415,45253.86,INR,card,failed,RISK_BLOCKED,risk_related,0,2026-08-20 16:40:48,+918055402371,sub_saas_9037
txn_GEN_71851421,4958.88,INR,upi,failed,UPI_COLLECT_DECLINED,payment_method_related,0,2026-08-20 20:20:41,+919347398593,
txn_GEN_80322629,2883.58,INR,upi,failed,INSUFFICIENT_FUNDS,customer_related,1,2026-08-21 21:40:23,+917027418321,
txn_GEN_11226946,4296.42,INR,card,failed,INVALID_CARD_DETAILS,payment_method_related,0,2026-08-18 18:30:03,+919653582116,sub_saas_1108
txn_GEN_81432350,1325.14,INR,card,failed,AUTHENTICATION_FAILED,customer_related,1,2026-08-17 14:19:25,+919273831457,sub_saas_3937
txn_GEN_24363501,7003.04,INR,card,failed,AUTHENTICATION_FAILED,customer_related,0,2026-08-20 07:37:17,+919661938440,sub_saas_7112
txn_GEN_64496076,84500.48,INR,card,failed,RISK_BLOCKED,risk_related,0,2026-08-18 03:03:03,+918288381269,sub_saas_2531
txn_GEN_64395532,2649.48,INR,upi,failed,NETWORK_ERROR,transient,0,2026-08-18 18:49:40,+917241011818,
txn_GEN_96557984,38775.01,INR,card,failed,FRAUD_SUSPECTED,risk_related,0,2026-08-24 16:43:06,+917986839603,sub_saas_2218
txn_GEN_47631028,15220.71,INR,card,failed,3DS_TIMEOUT,three_ds_authentication,0,2026-08-14 06:30:03,+917067251004,sub_saas_2260
txn_GEN_50168264,13966.05,INR,card,failed,3DS_TIMEOUT,three_ds_authentication,0,2026-08-15 04:09:58,+919907843037,sub_saas_9204
txn_GEN_56420476,34835.15,INR,card,failed,FRAUD_SUSPECTED,risk_related,2,2026-08-22 21:37:31,+917326495888,sub_saas_1485
txn_GEN_95110541,2335.18,INR,upi,failed,ISSUER_BUSY,transient,1,2026-08-19 22:45:13,+918528197464,
txn_GEN_21501669,9539.13,INR,netbanking,success,,,0,2026-08-26 11:52:45,+917315708805,sub_pro_257
txn_GEN_62294176,6681.38,INR,card,failed,3DS_TIMEOUT,three_ds_authentication,1,2026-08-14 12:40:32,+917022313296,sub_saas_2430
txn_GEN_35151299,5245.97,INR,card,success,,,0,2026-08-21 23:07:25,+919200916676,sub_pro_711
txn_GEN_90268079,11812.63,INR,card,success,,,0,2026-08-22 05:52:38,+918777300707,sub_pro_685
txn_GEN_79941466,1418.67,INR,upi,failed,NETWORK_ERROR,transient,2,2026-08-23 10:47:23,+918154998170,
txn_GEN_66519399,3969.03,INR,card,failed,INVALID_CARD_DETAILS,payment_method_related,1,2026-08-14 12:15:16,+918081042134,sub_saas_8501
txn_GEN_24357588,12684.9,INR,netbanking,failed,CUSTOMER_ABORTED,customer_related,0,2026-08-15 22:29:05,+918426862057,
txn_GEN_97380687,4769.2,INR,upi,success,,,0,2026-08-14 11:14:05,+919590772665,sub_pro_426
txn_GEN_49117508,4248.65,INR,upi,failed,NETWORK_ERROR,transient,1,2026-08-16 06:51:52,+918203879959,
txn_GEN_89487366,1207.98,INR,upi,failed,OTP_EXPIRED,biometric_failure,2,2026-08-14 09:19:29,+917115603785,
txn_GEN_19282319,1827.07,INR,upi,failed,OTP_EXPIRED,biometric_failure,1,2026-08-24 06:30:32,+918300656317,
txn_GEN_19927432,1813.07,INR,upi,failed,OTP_EXPIRED,biometric_failure,0,2026-08-20 14:14:28,+919295090505,
txn_GEN_58255231,8351.13,INR,netbanking,success,,,0,2026-08-18 09:30:19,+919824377567,sub_pro_760
txn_GEN_96804457,9961.24,INR,netbanking,success,,,0,2026-08-26 06:21:07,+917045302356,sub_pro_694
txn_GEN_87206788,1390.67,INR,upi,failed,UPI_COLLECT_DECLINED,payment_method_related,0,2026-08-16 21:35:37,+918988841342,
txn_GEN_74796438,9861.59,INR,netbanking,failed,CUSTOMER_ABORTED,customer_related,0,2026-08-16 01:55:10,+917498513988,
txn_GEN_37765262,4477.84,INR,netbanking,failed,CUSTOMER_ABORTED,customer_related,0,2026-08-21 13:04:30,+917419287737,
txn_GEN_25446483,1307.35,INR,upi,failed,OTP_EXPIRED,biometric_failure,1,2026-08-16 12:21:01,+919908291293,
txn_GEN_84076145,1003.24,INR,upi,failed,ISSUER_BUSY,transient,1,2026-08-24 09:54:00,+918984507492,
txn_GEN_63094168,5618.48,INR,upi,failed,INSUFFICIENT_FUNDS,customer_related,0,2026-08-22 05:31:53,+918844915411,
txn_GEN_87490324,11350.64,INR,netbanking,success,,,0,2026-08-21 06:36:30,+917846427583,sub_pro_754
txn_GEN_52064387,4086.81,INR,card,failed,INVALID_CARD_DETAILS,payment_method_related,2,2026-08-26 01:08:21,+919521166052,sub_saas_2388
txn_GEN_27978165,2400.97,INR,upi,failed,UPI_COLLECT_DECLINED,payment_method_related,1,2026-08-25 02:11:00,+917502291736,
txn_GEN_87149161,1998.26,INR,upi,failed,ISSUER_BUSY,transient,1,2026-08-20 03:58:38,+919729458763,
txn_GEN_48766747,5376.87,INR,card,failed,GATEWAY_TIMEOUT,transient,1,2026-08-26 21:21:44,+919660345628,sub_saas_7290
txn_GEN_85374270,1836.27,INR,card,failed,INVALID_CARD_DETAILS,payment_method_related,0,2026-08-21 20:35:34,+919111946589,sub_saas_4613
txn_GEN_49203644,2840.39,INR,upi,failed,OTP_EXPIRED,biometric_failure,1,2026-08-25 07:07:57,+918239829538,
txn_GEN_83782999,14924.95,INR,netbanking,failed,CUSTOMER_ABORTED,customer_related,0,2026-08-16 20:40:10,+918150574089,
txn_GEN_69239219,5097.86,INR,card,failed,GATEWAY_TIMEOUT,transient,2,2026-08-17 04:35:54,+919807498587,sub_saas_2425
txn_GEN_68930964,46638.53,INR,card,failed,FRAUD_SUSPECTED,risk_related,1,2026-08-18 01:21:08,+919525113890,sub_saas_3281
txn_GEN_37732020,24538.0,INR,netbanking,failed,CUSTOMER_ABORTED,customer_related,2,2026-08-23 17:28:38,+919286128610,
txn_GEN_48833650,14024.22,INR,card,failed,CARD_EXPIRED,payment_method_related,2,2026-08-25 18:00:53,+917408988968,sub_saas_3078
txn_GEN_27809465,8587.82,INR,netbanking,success,,,0,2026-08-22 04:14:32,+919904405303,sub_pro_524
txn_GEN_60354777,12235.03,INR,upi,success,,,0,2026-08-20 11:14:18,+918730230896,sub_pro_565
txn_GEN_75504221,3744.01,INR,upi,failed,NETWORK_ERROR,transient,0,2026-08-18 19:27:51,+918969024554,
txn_GEN_39236638,21529.71,INR,card,failed,FRAUD_SUSPECTED,risk_related,0,2026-08-16 02:54:42,+918386695233,sub_saas_6631
txn_GEN_16497381,3282.59,INR,card,failed,INVALID_CARD_DETAILS,payment_method_related,1,2026-08-25 21:48:06,+917069927882,sub_saas_4314
txn_GEN_27705074,8973.11,INR,netbanking,success,,,0,2026-08-22 15:00:21,+919811433912,sub_pro_269
txn_GEN_16950770,3207.37,INR,card,failed,GATEWAY_TIMEOUT,transient,0,2026-08-18 12:34:38,+918843532841,sub_saas_3174
txn_GEN_89682313,11323.08,INR,netbanking,success,,,0,2026-08-22 20:37:51,+919987566830,sub_pro_235
txn_GEN_74115841,2201.04,INR,card,failed,AUTHENTICATION_FAILED,customer_related,1,2026-08-26 04:49:09,+917439921366,sub_saas_3340
txn_GEN_19182050,69896.13,INR,card,failed,RISK_BLOCKED,risk_related,0,2026-08-21 12:25:48,+917704875220,sub_saas_8248
txn_GEN_39158087,6773.04,INR,card,failed,CARD_EXPIRED,payment_method_related,1,2026-08-17 11:42:58,+919532200677,sub_saas_5059
txn_GEN_47173969,677.79,INR,upi,failed,OTP_EXPIRED,biometric_failure,2,2026-08-17 14:39:42,+919577014150,
txn_GEN_37574457,8433.54,INR,upi,failed,INSUFFICIENT_FUNDS,customer_related,0,2026-08-26 21:02:34,+919775278048,
txn_GEN_42357445,11328.77,INR,netbanking,success,,,0,2026-08-14 15:41:24,+918550904983,sub_pro_530
txn_GEN_59044830,3587.92,INR,card,success,,,0,2026-08-19 11:18:09,+917071680424,sub_pro_908
txn_GEN_63415303,3988.13,INR,card,failed,CARD_EXPIRED,payment_method_related,1,2026-08-16 23:20:21,+919151988914,sub_saas_5546
txn_GEN_21220209,70793.45,INR,card,failed,RISK_BLOCKED,risk_related,0,2026-08-20 04:18:26,+917667339697,sub_saas_6081
txn_GEN_68718382,3974.32,INR,card,failed,GATEWAY_TIMEOUT,transient,1,2026-08-26 00:33:14,+918866092821,sub_saas_2956
txn_GEN_11699863,1351.82,INR,upi,failed,OTP_EXPIRED,biometric_failure,2,2026-08-20 08:46:21,+918489087190,
txn_GEN_27036337,9546.88,INR,netbanking,success,,,0,2026-08-23 20:30:52,+918843934986,sub_pro_742
txn_GEN_20344164,6460.82,INR,netbanking,failed,CUSTOMER_ABORTED,customer_related,0,2026-08-20 16:34:38,+917238109164,
txn_GEN_87029205,1550.78,INR,upi,success,,,0,2026-08-15 16:47:18,+917189141363,sub_pro_492
txn_GEN_30144023,13989.26,INR,card,failed,CARD_EXPIRED,payment_method_related,2,2026-08-21 19:20:44,+919816224192,sub_saas_5444
txn_GEN_20453825,10651.06,INR,card,success,,,0,2026-08-15 02:21:34,+919891911919,sub_pro_510
txn_GEN_19251149,3407.05,INR,netbanking,success,,,0,2026-08-19 22:44:09,+917371022983,sub_pro_903
txn_GEN_50790016,5529.05,INR,card,failed,3DS_TIMEOUT,three_ds_authentication,1,2026-08-14 03:02:07,+919541293188,sub_saas_3466
txn_GEN_10856024,9107.92,INR,card,failed,GATEWAY_TIMEOUT,transient,0,2026-08-18 19:05:49,+918487878460,sub_saas_7164
txn_GEN_51273379,12962.51,INR,netbanking,success,,,0,2026-08-20 19:06:22,+918803095297,sub_pro_386
txn_GEN_22485824,19778.85,INR,card,failed,FRAUD_SUSPECTED,risk_related,1,2026-08-21 06:18:20,+918599840853,sub_saas_7461
txn_GEN_20043577,4779.11,INR,upi,success,,,0,2026-08-24 08:15:36,+917561387824,sub_pro_817
txn_GEN_53788744,10240.76,INR,card,success,,,0,2026-08-14 12:28:38,+917320780067,sub_pro_259
